Link,Status,Breadcrumbs,Content Div,H1 Header,Timestamp
http://10.147.112.4/id2/admin/sfcs/step/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:07
http://10.147.112.4/id2/admin/sfcs/step/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:07
http://10.147.112.4/id2/admin/sfcs/taskexecutionhistory/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:08
http://10.147.112.4/id2/admin/sfcs/taskexecutionhistory/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:08
http://10.147.112.4/id2/admin/sfcs/type/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:08
http://10.147.112.4/id2/admin/sfcs/type/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:08
http://10.147.112.4/id2/admin/sfcs/type/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:08
http://10.147.112.4/id2/admin/sfcs/unitmatchedpart/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:08
http://10.147.112.4/id2/admin/sfcs/unitmatchedpart/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:09
http://10.147.112.4/id2/admin/sfcs/unitmatchedpart/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:09
http://10.147.112.4/id2/admin/sfcs/unitrepair/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:09
http://10.147.112.4/id2/admin/sfcs/unitrepair/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:09
http://10.147.112.4/id2/admin/sfcs/unitrepair/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:09
http://10.147.112.4/id2/admin/sfcs/unitstationhistory/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:10
http://10.147.112.4/id2/admin/sfcs/unitstationhistory/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:10
http://10.147.112.4/id2/admin/sfcs/unitstationhistory/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:10
http://10.147.112.4/id2/admin/sfcs/unit/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:10
http://10.147.112.4/id2/admin/sfcs/unit/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:10
http://10.147.112.4/id2/admin/sfcs/unit/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:10
http://10.147.112.4/id2/admin/sfcs/wobom/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:11
http://10.147.112.4/id2/admin/sfcs/wobom/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:11
http://10.147.112.4/id2/admin/sfcs/wobom/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:11
http://10.147.112.4/id2/admin/sfcs/workorderdeviation/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:11
http://10.147.112.4/id2/admin/sfcs/workorderdeviation/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:11
http://10.147.112.4/id2/admin/sfcs/workorderdeviation/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:11
http://10.147.112.4/id2/admin/sfcs/workorder/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:12
http://10.147.112.4/id2/admin/sfcs/workorder/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:12
http://10.147.112.4/id2/admin/sfcs/workorder/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:12
http://10.147.112.4/id2/admin/sites/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:12
http://10.147.112.4/id2/admin/sites/site/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:12
http://10.147.112.4/id2/admin/sites/site/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:12
http://10.147.112.4/id2/admin/sites/site/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:12
http://10.147.112.4/id2/admin/translations/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:13
http://10.147.112.4/id2/admin/translations/translation/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:13
http://10.147.112.4/id2/admin/translations/translation/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:13
http://10.147.112.4/id2/admin/translations/translation/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:13
